City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Katsuura,JP,2022-01-30 18:21:52,35.1333,140.3,41.02,67,100,12.48
88,Lata,PT,2022-01-30 18:21:39,40.1629,-8.3327,57.61,49,88,2.21
89,Madison Heights,US,2022-01-30 18:21:52,42.4859,-83.1052,25.84,63,100,0.0
90,Acapulco,MX,2022-01-30 18:19:37,16.8634,-99.8901,84.02,70,0,6.91
91,Smithers,CA,2022-01-30 18:19:18,54.7804,-127.1743,28.72,93,75,4.61
92,Havoysund,NO,2022-01-30 18:22:53,70.9963,24.6622,31.08,66,95,14.5
93,Cape Town,ZA,2022-01-30 18:22:53,-33.9258,18.4232,71.11,72,0,1.99
94,Vaini,TO,2022-01-30 18:22:53,-21.2,-175.2,80.47,76,100,11.72
95,Hastings,GB,2022-01-30 18:22:54,50.8552,0.5729,45.28,78,45,13.2
96,Mount Gambier,AU,2022-01-30 18:22:54,-37.8333,140.7667,62.51,94,100,6.91
97,Daru,PG,2022-01-30 18:22:54,-9.0763,143.2092,75.81,89,100,7.45
98,Hermanus,ZA,2022-01-30 18:22:47,-34.4187,19.2345,72.81,71,40,17.34
99,Bethel,US,2022-01-30 18:21:22,41.3712,-73.414,25.43,48,0,4.0
100,Mackay,AU,2022-01-30 18:22:55,-21.15,149.2,77.68,83,33,10.18
101,Miandrivazo,MG,2022-01-30 18:22:41,-19.5167,45.4667,82.06,72,28,7.2
102,Pocone,BR,2022-01-30 18:22:55,-16.2567,-56.6228,77.83,87,100,5.88
103,Geraldton,AU,2022-01-30 18:20:30,-28.7667,114.6,72.01,88,100,18.41
104,Birin,NP,2022-01-30 18:22:56,26.8865,88.0718,41.67,72,48,3.96
105,Zhigansk,RU,2022-01-30 18:22:56,66.7697,123.3711,-33.05,100,97,2.42
106,Paka,MY,2022-01-30 18:22:56,4.6374,103.4368,75.13,88,82,0.0
107,Yei,SS,2022-01-30 18:22:57,4.095,30.6779,78.35,26,75,4.74
108,Grado,ES,2022-01-30 18:22:57,43.388,-6.0743,48.24,92,40,9.22
109,Yertsevo,RU,2022-01-30 18:22:57,60.7966,40.086,12.54,95,100,7.23
110,Hamilton,US,2022-01-30 18:18:09,39.1834,-84.5333,39.07,56,0,1.99
111,Cabo San Lucas,MX,2022-01-30 18:22:58,22.8909,-109.9124,78.51,67,20,6.91
112,Sitka,US,2022-01-30 18:22:58,57.0531,-135.33,37.29,70,100,10.36
113,Lagoa,PT,2022-01-30 18:22:58,39.05,-27.9833,57.78,66,66,22.37
114,Ugoofaaru,MV,2022-01-30 18:22:59,5.6667,73.0,81.52,77,57,14.23
115,Lago Da Pedra,BR,2022-01-30 18:22:59,-4.3333,-45.1667,83.26,70,79,4.32
116,Sinjar,IQ,2022-01-30 18:22:59,36.3209,41.8754,41.58,64,41,2.08
117,Aklavik,CA,2022-01-30 18:21:19,68.2191,-135.0107,5.0,72,100,13.8
118,Severo-Kurilsk,RU,2022-01-30 18:23:00,50.6789,156.125,26.37,92,100,14.63
119,Puksoozero,RU,2022-01-30 18:23:00,62.5903,40.6066,11.37,95,100,6.15
120,New Norfolk,AU,2022-01-30 18:23:00,-42.7826,147.0587,56.71,74,3,1.99
121,Boa Vista,BR,2022-01-30 18:23:01,2.8197,-60.6733,89.58,40,75,16.11
122,Sola,VU,2022-01-30 18:23:01,-13.8833,167.55,79.79,83,100,16.67
123,Laredo,US,2022-01-30 18:19:04,27.5064,-99.5075,68.0,50,0,14.97
124,Ponta Do Sol,PT,2022-01-30 18:23:02,32.6667,-17.1,67.01,41,0,7.63
125,Vardo,NO,2022-01-30 18:23:02,70.3705,31.1107,26.35,86,75,20.71
126,Vestmanna,FO,2022-01-30 18:23:02,62.1564,-7.1664,36.52,93,100,11.5
127,Komsomolskiy,UZ,2022-01-30 18:23:03,40.4272,71.7189,33.22,86,100,6.91
128,Srednekolymsk,RU,2022-01-30 18:18:06,67.45,153.6833,-22.88,99,100,4.79
129,Key West,US,2022-01-30 18:23:03,24.5557,-81.7826,60.8,38,0,10.36
130,Adrar,MR,2022-01-30 18:22:47,20.5022,-10.0711,82.49,10,100,10.87
131,Tiksi,RU,2022-01-30 18:19:12,71.6872,128.8694,-17.25,100,82,4.14
132,Fortuna,US,2022-01-30 18:19:10,40.5982,-124.1573,49.66,95,100,6.91
133,Westport,US,2022-01-30 18:21:14,41.1415,-73.3579,26.8,43,0,1.99
134,Ust-Nera,RU,2022-01-30 18:23:04,64.5667,143.2,-16.69,99,100,0.98
135,Yeppoon,AU,2022-01-30 18:24:04,-23.1333,150.7333,73.18,83,20,11.1
