City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
83,Xucheng,CN,2022-02-02 21:43:41,20.35,110.1288,54.3,88,100,10.31,moderate rain
84,Pirgos,GR,2022-02-02 21:43:41,35.1167,25.7178,54.63,73,93,17.07,overcast clouds
85,Issoire,FR,2022-02-02 21:43:41,45.55,3.25,42.06,92,44,2.8,scattered clouds
86,Dubovskoye,RU,2022-02-02 21:43:42,47.4092,42.7575,34.2,91,100,10.02,snow
87,Churapcha,RU,2022-02-02 21:43:42,62.0025,132.4325,-41.4,100,79,1.5,broken clouds
88,Pirapozinho,BR,2022-02-02 21:43:42,-22.2753,-51.5,72.88,94,75,8.05,broken clouds
89,Ribeira Grande,PT,2022-02-02 21:43:42,38.5167,-28.7,61.2,72,40,13.8,scattered clouds
90,Burnie,AU,2022-02-02 21:43:43,-41.0667,145.9167,61.92,70,18,11.88,few clouds
91,Kamakwie,SL,2022-02-02 21:43:43,9.5,-12.2333,77.45,35,9,5.55,clear sky
92,Deputatskiy,RU,2022-02-02 21:43:43,69.3,139.9,-24.23,93,23,6.13,few clouds
93,Mar Del Plata,AR,2022-02-02 21:39:11,-38.0023,-57.5575,84.22,51,0,3.0,clear sky
94,Leo,BF,2022-02-02 21:44:44,11.1,-2.1,70.25,8,6,8.63,clear sky
95,Leningradskiy,RU,2022-02-02 21:44:04,69.3833,178.4167,-14.39,95,30,9.86,scattered clouds
96,Sungairaya,ID,2022-02-02 21:44:44,0.7,108.9,75.63,92,98,6.35,overcast clouds
97,Qaanaaq,GL,2022-02-02 21:42:49,77.484,-69.3632,-14.91,81,100,6.98,overcast clouds
98,Chuy,UY,2022-02-02 21:44:45,-33.6971,-53.4616,74.48,74,0,13.22,clear sky
99,Matara,LK,2022-02-02 21:44:45,5.9485,80.5353,70.86,89,2,7.4,clear sky
100,Rawson,AR,2022-02-02 21:44:45,-43.3002,-65.1023,75.29,38,100,10.8,overcast clouds
101,Ust-Kan,RU,2022-02-02 21:44:45,50.9276,84.761,-4.95,92,27,3.29,scattered clouds
102,Vyritsa,RU,2022-02-02 21:44:46,59.4078,30.3481,22.51,98,99,1.14,light snow
103,Porto Santo,PT,2022-02-02 21:42:45,33.072,-16.3415,66.31,94,40,9.22,scattered clouds
104,Lamar,US,2022-02-02 21:44:46,33.6668,-95.5836,38.86,93,100,12.66,overcast clouds
105,Port Alfred,ZA,2022-02-02 21:42:25,-33.5906,26.891,73.98,95,100,7.94,moderate rain
106,Rio Gallegos,AR,2022-02-02 21:44:46,-51.6226,-69.2181,64.45,52,75,20.71,broken clouds
107,Berbera,SO,2022-02-02 21:44:47,10.4396,45.0143,76.05,78,100,7.47,overcast clouds
108,Hualmay,PE,2022-02-02 21:44:47,-11.0964,-77.6139,74.75,70,4,13.62,clear sky
109,Labuhan,ID,2022-02-02 21:41:10,-6.8844,112.2051,77.63,86,100,5.12,overcast clouds
110,Kaitangata,NZ,2022-02-02 21:44:47,-46.2817,169.8464,54.36,95,100,4.99,moderate rain
111,Butaritari,KI,2022-02-02 21:42:51,3.0707,172.7902,81.73,79,29,17.83,light rain
112,Florianopolis,BR,2022-02-02 21:43:54,-27.6146,-48.5012,79.63,74,40,1.99,scattered clouds
113,Mount Gambier,AU,2022-02-02 21:42:42,-37.8333,140.7667,57.11,67,100,14.97,overcast clouds
114,Uitenhage,ZA,2022-02-02 21:44:48,-33.7576,25.3971,71.42,91,100,7.0,light rain
115,Victoria,HK,2022-02-02 21:44:48,22.2855,114.1577,60.94,93,100,1.01,overcast clouds
